timestamp,service,volume_mbps
18:44:59,Video_Stream,264.99
18:44:59,IoT_Telemetry,45.57
18:45:59,Web_Traffic,147.23
18:45:59,Video_Stream,270.53
18:45:59,IoT_Telemetry,44.69
18:46:59,Web_Traffic,119.66
18:46:59,Video_Stream,252.32
18:46:59,IoT_Telemetry,47.11
18:47:59,Web_Traffic,139.26
18:47:59,Video_Stream,279.4
18:47:59,IoT_Telemetry,47.71
18:48:59,Web_Traffic,118.42
18:48:59,Video_Stream,259.33
18:48:59,IoT_Telemetry,49.8
18:49:59,Web_Traffic,134.88
18:49:59,Video_Stream,238.8
18:49:59,IoT_Telemetry,51.52
18:50:59,Web_Traffic,128.65
18:50:59,Video_Stream,264.8
18:50:59,IoT_Telemetry,45.24
18:51:59,Web_Traffic,127.94
18:51:59,Video_Stream,235.08
18:51:59,IoT_Telemetry,51.21
18:52:59,Web_Traffic,115.79
18:52:59,Video_Stream,239.46
18:52:59,IoT_Telemetry,49.4
18:53:59,Web_Traffic,118.16
18:53:59,Video_Stream,275.27
18:53:59,IoT_Telemetry,49.65
18:54:59,Web_Traffic,101.82
18:54:59,Video_Stream,262.27
18:54:59,IoT_Telemetry,57.56
18:55:59,Web_Traffic,102.2
18:55:59,Video_Stream,240.07
18:55:59,IoT_Telemetry,52.19
18:56:59,Web_Traffic,102.55
18:56:59,Video_Stream,259.93
18:56:59,IoT_Telemetry,51.04
18:57:59,Web_Traffic,105.44
18:57:59,Video_Stream,291.71
18:57:59,IoT_Telemetry,56.42
18:58:59,Web_Traffic,104.76
18:58:59,Video_Stream,282.38
18:58:59,IoT_Telemetry,62.51
18:59:59,Web_Traffic,92.54
18:59:59,Video_Stream,301.19
18:59:59,IoT_Telemetry,61.26
19:00:59,Web_Traffic,89.03
19:00:59,Video_Stream,334.11
19:00:59,IoT_Telemetry,57.85
19:01:59,Web_Traffic,90.01
19:01:59,Video_Stream,354.17
19:01:59,IoT_Telemetry,62.66
19:02:59,Web_Traffic,96.64
19:02:59,Video_Stream,352.05
19:02:59,IoT_Telemetry,63.51
19:03:59,Web_Traffic,82.89
19:03:59,Video_Stream,349.14
19:03:59,IoT_Telemetry,60.29
19:04:59,Web_Traffic,91.1
19:04:59,Video_Stream,400.49
19:04:59,IoT_Telemetry,64.37
19:05:59,Web_Traffic,94.06
19:05:59,Video_Stream,416.75
19:05:59,IoT_Telemetry,55.86
19:06:59,Web_Traffic,95.69
19:06:59,Video_Stream,386.92
19:06:59,IoT_Telemetry,55.75
19:07:59,Web_Traffic,82.98
19:07:59,Video_Stream,431.32
19:07:59,IoT_Telemetry,58.58
19:08:59,Web_Traffic,84.7
19:08:59,Video_Stream,428.69
19:08:59,IoT_Telemetry,57.48
19:09:59,Web_Traffic,83.52
19:09:59,Video_Stream,419.31
19:09:59,IoT_Telemetry,62.04
19:10:59,Web_Traffic,99.62
19:10:59,Video_Stream,464.91
19:10:59,IoT_Telemetry,63.73
19:11:59,Web_Traffic,90.21
19:11:59,Video_Stream,472.13
19:11:59,IoT_Telemetry,58.19
19:12:59,Web_Traffic,88.13
19:12:59,Video_Stream,474.59
19:12:59,IoT_Telemetry,51.98
19:13:59,Web_Traffic,105.86
19:13:59,Video_Stream,542.07
19:13:59,IoT_Telemetry,62.61
19:14:59,Web_Traffic,109.1
19:14:59,Video_Stream,563.59
19:14:59,IoT_Telemetry,51.09
19:15:59,Web_Traffic,112.44
19:15:59,Video_Stream,481.52
19:15:59,IoT_Telemetry,55.14
19:16:59,Web_Traffic,100.3
19:16:59,Video_Stream,533.36
19:16:59,IoT_Telemetry,57.8
19:17:59,Web_Traffic,102.4
19:17:59,Video_Stream,508.05
19:17:59,IoT_Telemetry,54.4
19:18:59,Web_Traffic,115.81
19:18:59,Video_Stream,598.32
19:18:59,IoT_Telemetry,51.44
19:19:59,Web_Traffic,108.6
19:19:59,Video_Stream,531.49
19:19:59,IoT_Telemetry,55.92
